iter	Passed	Remaining
713	4333	1735
714	4339	1729
715	4346	1724
716	4353	1718
717	4359	1712
718	4366	1706
719	4373	1700
720	4380	1695
721	4387	1689
722	4393	1683
723	4399	1677
724	4406	1671
725	4412	1665
726	4419	1659
727	4426	1653
728	4433	1648
729	4440	1642
730	4446	1636
731	4453	1630
732	4459	1624
733	4466	1618
734	4473	1612
735	4480	1607
736	4486	1601
737	4493	1595
738	4499	1589
739	4506	1583
740	4513	1577
741	4519	1571
742	4525	1565
743	4531	1559
744	4538	1553
745	4545	1547
746	4551	1541
747	4557	1535
748	4564	1529
749	4570	1523
750	4577	1517
751	4584	1511
752	4590	1505
753	4596	1499
754	4603	1493
755	4609	1487
756	4616	1481
757	4622	1475
758	4629	1469
759	4636	1464
760	4643	1458
761	4650	1452
762	4657	1446
763	4664	1440
764	4671	1435
765	4679	1429
766	4686	1423
767	4693	1417
768	4701	1412
769	4707	1406
770	4714	1400
771	4721	1394
772	4729	1388
773	4735	1382
774	4742	1376
775	4748	1370
776	4754	1364
777	4761	1358
778	4767	1352
779	4775	1346
780	4781	1340
781	4788	1334
782	4794	1328
783	4800	1322
784	4806	1316
785	4812	1310
786	4819	1304
787	4825	1298
788	4831	1292
789	4838	1286
790	4844	1280
791	4850	1273
792	4857	1267
793	4863	1261
794	4871	1256
795	4878	1250
796	4884	1244
797	4891	1238
798	4897	1232
799	4903	1225
800	4909	1219
801	4915	1213
802	4922	1207
803	4928	1201
804	4934	1195
805	4941	1189
806	4947	1183
807	4954	1177
808	4960	1171
809	4967	1165
810	4974	1159
811	4980	1153
812	4986	1147
813	4993	1140
814	4999	1134
815	5006	1128
816	5012	1122
817	5018	1116
818	5025	1110
819	5031	1104
820	5038	1098
821	5044	1092
822	5050	1086
823	5057	1080
824	5064	1074
825	5071	1068
826	5078	1062
827	5085	1056
828	5091	1050
829	5098	1044
830	5105	1038
831	5112	1032
832	5119	1026
833	5127	1020
834	5135	1014
835	5142	1008
836	5149	1002
837	5156	996
838	5163	990
839	5170	984
840	5177	978
841	5184	972
842	5190	966
843	5197	960
844	5203	954
845	5210	948
846	5217	942
847	5224	936
848	5230	930
849	5236	924
850	5243	918
851	5249	911
852	5255	905
853	5262	899
854	5270	893
855	5277	887
856	5284	881
857	5290	875
858	5296	869
859	5303	863
860	5309	857
861	5315	850
862	5322	844
863	5328	838
864	5335	832
865	5341	826
866	5348	820
867	5354	814
868	5361	808
869	5367	802
870	5374	796
871	5381	789
872	5387	783
873	5394	777
874	5400	771
875	5406	765
876	5412	759
877	5419	753
878	5425	746
879	5431	740
880	5438	734
881	5444	728
882	5450	722
883	5456	716
884	5463	709
885	5470	703
886	5477	697
887	5484	691
888	5490	685
889	5496	679
890	5503	673
891	5509	667
892	5516	660
893	5522	654
894	5528	648
895	5534	642
896	5541	636
897	5547	630
898	5554	623
899	5560	617
900	5566	611
901	5572	605
902	5579	599
903	5585	593
904	5592	587
905	5598	580
906	5604	574
907	5611	568
908	5617	562
909	5623	556
910	5630	550
911	5636	543
912	5643	537
913	5649	531
914	5657	525
915	5664	519
916	5671	513
917	5677	507
918	5685	501
919	5692	494
920	5698	488
921	5705	482
922	5711	476
923	5718	470
924	5726	464
925	5733	458
926	5739	451
927	5745	445
928	5752	439
929	5759	433
930	5766	427
931	5772	421
932	5779	415
933	5786	408
934	5793	402
935	5799	396
936	5806	390
937	5812	384
938	5818	378
939	5825	371
940	5831	365
941	5839	359
942	5846	353
943	5852	347
944	5859	341
945	5866	334
946	5872	328
947	5879	322
948	5885	316
949	5892	310
950	5898	303
951	5905	297
952	5911	291
953	5917	285
954	5924	279
955	5930	272
956	5937	266
957	5943	260
958	5950	254
959	5956	248
960	5962	241
961	5969	235
962	5975	229
963	5982	223
964	5988	217
965	5995	211
966	6001	204
967	6007	198
968	6014	192
969	6020	186
970	6027	180
971	6033	173
972	6039	167
973	6046	161
974	6053	155
975	6059	149
976	6066	142
977	6072	136
978	6079	130
979	6085	124
980	6092	117
981	6098	111
982	6105	105
983	6114	99
984	6121	93
985	6127	87
986	6134	80
987	6140	74
988	6147	68
989	6154	62
990	6162	55
991	6169	49
992	6176	43
993	6184	37
994	6191	31
995	6198	24
996	6204	18
997	6211	12
998	6217	6
999	6223	0
